"Mm.40828","Mm.203949","Mm.3879","Mm.316754","Mm.378976","Mm.234441","Mm.28291","Mm.380374","Mm.3258","Mm.297949","Mm.312593","Mm.248360","Mm.333725","Mm.6787","Mm.19669","Mm.25556","Mm.329123","Mm.209503","Mm.29625","Mm.380699","Mm.291225","Mm.29344","Mm.358692","Mm.380139","Mm.264984","Mm.15406","Mm.313351","Mm.45686","Mm.27447","Mm.25582","Mm.46251","Mm.362054","Mm.155058","Mm.291161","Mm.28559","Mm.334477","Mm.244226","Mm.126450","Mm.290116","Mm.350577","Mm.24021","Mm.345858","Mm.5048","Mm.379383","Mm.319204","Mm.23895","Mm.11869","Mm.371902","Mm.209150","Mm.25960"
0.64589283,-0.0122381,-0.6987511,1.13731448,0.28441009,-2.7555725,-0.589320115,-1.2892872,-1.4951785,-2.3508011,-1.2374339,-1.4881158,-2.0541341,-1.3980049,-1.1017634,-2.4591037,-1.9940931,-1.4140355,-1.3343401,0.82842009,2.12973856,-2.7775062,-1.0219451,-0.4630763,-0.9091769,-2.7775062,-0.5473231,1.38327737,-0.4899239,-2.0979742,-2.7775062,-1.5784537,-2.1498518,-1.6154334,-2.7775062,-1.3140027,-1.3204207,1.64225327,0.26490806,-2.5505052,-0.8969344,0.87419907,-0.6169715,1.58984918,-1.9734281,-0.5448798,1.23863221,-0.3107856,-2.4102942,0.6936225
0.86838096,0.20110265,-0.1705159,0.97174953,0.55684813,-1.1085592,-0.9769679,-1.5208793,-1.1927977,-1.7928113,-0.8615651,-1.5517941,-1.7948546,-1.3209712,-1.2147442,-3.1680119,-2.810355,-1.0683038,-1.5199246,-0.0418538,2.13795738,-1.6712925,-0.7811471,-0.5165371,-1.2998858,-1.0394659,-0.1413077,1.45778347,-0.3564766,-2.810355,-3.0644064,-1.2097287,-2.2837813,-0.6215985,-2.4817517,-1.6176639,-1.0373943,1.8864074,0.1901416,-2.3050532,-1.1029382,0.23478231,-0.652131,1.73798394,-2.0164302,-0.6075665,1.20003676,-0.3765956,-2.3958824,0.39454864
1.25739186,0.34264135,-0.5588443,0.22603095,0.49599658,-2.0249448,-0.57167252,-1.6885216,-1.1621269,-2.6664529,-0.6722317,-0.9592021,-1.9037642,-1.874137,-1.8202503,-1.272906,-3.773002,-2.7817139,-1.3189074,-0.2858387,2.31835723,-2.4825883,-1.0538398,0.0966958,-2.0342006,-1.7464818,-0.1852255,1.58219433,-0.1056875,-3.3953278,-3.5863206,-1.9471001,-1.9170429,-1.2023383,-2.2521867,-1.2936045,-1.5424758,2.15027721,0.18754984,-1.7272894,-0.9436807,-0.2677079,-0.3433673,1.79235029,-2.3752672,-0.5534701,1.30014514,-0.8167373,-3.6970207,0.50687258
0.67183985,0.06273969,-0.3977552,0.99665627,0.47732767,-1.4903367,-0.43349247,-2.0380558,-1.2859743,-1.4614027,-3.355349,-1.3186154,-3.355349,-1.2668743,-1.0416997,-3.2480325,-2.8088199,-1.0078923,-1.415492,-0.1080294,2.31505456,-2.3858786,-1.3713295,-0.5737529,-1.5602965,-1.6668526,-0.4155233,1.64760728,-0.2312378,-2.669241,-2.0457654,-2.6566127,-2.6257061,-1.6958825,-2.2044106,-1.3730408,-3.3334559,1.99145645,0.42596306,-2.6439421,-0.9287877,-0.0216775,-0.4547807,1.91363173,-2.0115311,-0.5731832,1.43230576,-0.6360502,-4.0885878,0.67095505
0.59399178,-0.021615,-0.3752112,0.90751349,0.02748302,-1.1072098,-0.573661735,-3.3159811,-1.3463746,-2.3314807,-1.649101,-1.1512972,-2.037958,-2.0344605,-0.7406537,-3.8944409,-2.3681011,-1.5381958,-1.5816916,-0.3939306,2.10962449,-3.1379968,-1.1415118,-0.6204243,-1.6296338,-2.2375944,-0.6079337,1.44549067,-0.3021761,-3.0456021,-2.1667318,-1.075405,-3.1379968,-1.249556,-4.0439166,-0.9849333,-3.1379968,1.84485147,0.408618,-3.1379968,-0.5736529,0.01507411,-0.453767,1.71612452,-2.379846,-0.572381,1.18231888,-0.5517009,-5.0441082,0.63792332
1.10646329,-0.0224781,-0.5117725,0.88346034,0.32536411,-2.335219,-0.5491448,-2.6818896,-1.3729776,-2.9954879,-2.9954879,-1.0177662,-2.9954879,-1.8973742,-0.7161839,-1.2660491,-3.1493226,-1.953074,-0.7568892,-0.2070608,2.421702,-1.5941795,-1.0955227,-0.3660902,-1.6268445,-0.6430397,-0.4025306,1.36317201,-0.4495549,-1.9093803,-2.2874398,-3.1802239,-2.2934859,-1.9640911,-4.1102842,-1.7377128,-0.8290581,2.0723776,0.29594341,-0.9874952,-0.2629827,0.00344671,-0.784339,1.9492414,-0.7812834,-0.4626291,1.30358756,-0.41685,-2.9954879,0.6028579
1.19634905,0.53473959,-0.0797334,0.97434369,0.57899583,-1.3153103,-0.50775919,-1.3248692,-1.4557325,-2.999527,-1.320741,-1.1289089,-3.6456576,-1.682012,-0.66043,-2.999527,-2.2620004,-2.8527263,-1.3933492,0.37605351,2.08558043,-2.999527,-0.7415012,-0.2247817,-1.7672588,-1.38468,-0.3391936,1.67960249,0.23992987,-1.595236,-1.8137481,-2.8527263,-5.3977665,-3.4439103,-2.999527,-1.5106422,-1.3622655,1.67498087,0.3175962,-2.999527,-0.7461858,0.36426926,-0.4481739,1.6100193,-2.7158553,-0.5080955,1.24749467,-0.5969062,-2.0615927,0.40248299
0.68322072,-0.0388784,-0.5328508,1.04075201,0.36416682,-2.427165,-0.74565331,-1.4589955,-1.4574783,-1.7955919,-1.4973709,-1.7180286,-2.8380188,-1.10808,-0.973802,-2.1844393,-2.1317023,-1.5792632,-1.386959,-0.1034223,1.88058784,-4.6496432,-1.0156374,-0.5309636,-1.3004824,-2.9155243,-0.3094399,1.42777116,-0.4847061,-2.619226,-1.8517373,-1.3246842,-1.4662871,-1.504396,-2.0715237,-1.894262,-2.9155243,1.51772448,0.2359226,-2.9155243,-0.8489767,0.10584317,-0.6454597,1.37990088,-1.5621087,-0.7386192,0.77677307,-0.3069543,-1.9292995,0.5240098
0.56434974,-0.1662795,-0.9470895,0.60904865,0.10394351,-3.2917793,-0.63995238,-1.6442632,-1.0086696,-1.8434616,-0.759545,-0.535001,-1.6468513,-2.047164,-1.5343374,-2.0634668,-1.7130324,-1.9109531,-1.0434835,-0.5099514,2.24512199,-3.8074994,-1.30359,-0.8596871,-1.0631794,-3.1835192,-0.2641649,1.48681198,-0.733639,-2.5031082,-1.8566842,-0.8196988,-2.7668117,-1.0518227,-3.1835192,-1.0647052,-1.9709808,1.98235962,0.30098791,-1.0942524,-0.8813922,-0.1741606,-0.7218837,1.9629716,-2.030304,-0.7618391,1.40689688,-0.4688404,-1.2727538,0.51852745
0.49475575,-0.2211013,-0.9855169,1.00869505,0.32902116,-2.2871689,-0.91990595,-1.2272841,-2.2990053,-3.2980004,-0.9375512,-1.0522023,-1.2537952,-0.732221,-1.0152274,-0.6954904,-2.7922066,-1.7439197,-0.3282181,-0.1774344,2.10114677,-3.0768429,-1.2687304,-0.1649657,-1.4240438,-0.5478884,-0.668135,1.28477029,-0.3473651,-1.9087944,-2.4440145,-1.6772645,-2.5588696,-1.0426339,-1.7693884,-1.5124027,-0.947383,1.78542443,0.26507657,-2.0532606,-0.8366768,0.20537902,-0.4130126,1.6668903,-1.7089405,-0.4044427,1.08427399,-0.4064079,-3.0768429,0.68941038
