ID_REF	VADS_01047_N	VADS_01047_T_E	VADS_0135_T_M	VADS_0279_T_NM	VADS_065_T_NM	VADS_0888_T_M	VADS_1102_N	VADS_1107_N	VADS_0190_T_NM	VADS_209_T_M	VADS_435_T_E	VADS_834_T_E	VADS_856_T_NM	VADS_933_T_M	VADS_pool_N	VADS_pool_T_E	VADS_Pool_T_NM	VADS_Pool_T_M	VADS_0103_T_NM	VADS_0118_T_LR	VADS_0165_T_M	VADS_0167_T_NM	VADS_0203_T_M	VADS_0215_T_M	VADS_0218_T_M	VADS_0330_T_M	VADS_0357_T_NM	VADS_0408_T_M	VADS_0409_T_NM	VADS_0423_T_NM	VADS_0429_T_LR	VADS_0621_T_M	VADS_0629_T_M	VADS_0684_T_LR	VADS_0702_T_LR	VADS_0744_T_M	VADS_0829_T_M	VADS_0847_T_NM
40848_g_at	351	1327.3	1442.5	1897.7	2853.3	1405.6	357.2	215.9	1144.3	906.9	716.3	1709.9	676.1	2079.9	491.9	1799.9	770.7	1236	2503.8	2883.2	5356.8	2897.1	4344.6	1864.5	5240.6	2389.2	3975.8	2157.7	2794.2	4225.4	2971.7	2187	2391.4	2276.5	3081.6	2988	2284.9	1675
40849_s_at	1407.2	748	1283.1	1128.1	1115	1199.4	1254.6	1674.4	1084.1	932.7	1045	1361	1180.6	1015.1	1450.7	1053.8	1155.7	1357.1	5510.8	5739.3	4763.2	5757.1	5669.7	8458.2	7290.2	7883.8	6745.3	10173.7	4900.1	6745.3	7797.1	10137.3	5697.9	6462.3	12208	6465.3	7534.2	8034.9
40850_at	388.6	278.7	455.7	557.2	117.3	844.8	108.8	169.9	224.9	88	72.7	603.4	142.7	57.7	1539.9	650.5	453	753.7	579.5	258.3	821.8	807.6	835.2	236.5	773.4	293.6	607.6	378.3	618.3	319.5	957.7	494.3	750.8	607	196.4	188.1	425.5	380
40851_r_at	94.2	114.9	27.8	63.2	16.8	127.4	47.4	155.5	98.1	120.7	115	111.1	8.7	59.8	115.3	13.5	13.3	24.6	282.8	243.1	224.4	327.2	177.3	171.4	273.1	164.4	348	208.5	359.2	366.8	289.7	321.3	339.6	234.1	244.4	131.6	248.3	179.9
40852_at	430.4	357.5	464.1	285	65.2	538.7	710	385.8	323.9	280.2	505.7	423.4	511.6	566.4	362.9	285.1	205.7	400.3	895.1	875.1	905.5	1956.7	1435.3	1133.7	1019.2	1019.4	1093.3	2247.1	1270.4	1593.1	1205	1883	1265.7	762.5	976.3	1621.8	1359.1	1168.6
40853_at	719.9	857.8	614.1	483.8	380.9	368.8	661.6	479.4	434.2	461.4	940.2	325.1	984.7	536.4	415.7	246.8	57.6	271.8	1887	2083.9	2021.8	3237.3	3462.4	2268.8	2532.3	1959.7	2807.1	4332.9	2746	4020	2067.2	4201.5	3930.6	2018.3	1804.3	2628.1	2542.2	2907.1
40854_at	2859.2	1629.6	1595.7	2001.8	2099.9	1563.2	2671.1	3390.1	4499.4	2215.6	2349	1501.7	3899.8	2501.2	2060.5	1044.4	1887.5	1651.5	1156.9	942.1	645.7	930.9	1602.3	784.4	686.8	1026.4	699.3	923.3	1216	1015.2	1135.1	1165.4	1601.8	677.4	476.8	1100.6	792.3	1736.5
40855_at	39.6	46.5	185.4	157.8	213.4	50.6	58	202.5	123.7	164.9	62.8	209.6	45.7	260.1	109	77.1	214.8	166.2	2280.6	1441.1	1669.5	1066.5	3644.5	575.7	1147.2	1254	192.2	745.4	873.8	1265.4	2270.7	700	2436.3	1369.1	391.3	1220.9	634.1	3351.7
40856_at	6020.2	3240.3	7126.9	6034.9	7243.1	8323.1	2827.2	4137.6	5576.6	3508.6	5374.2	4408	1821.5	8534.4	4400.9	2739	8293	5027.3	1271.7	1344.3	1511.7	900.4	1530.3	1134	1228.3	1036	1310.1	960.2	1050.7	651.8	1101.1	1313.9	1471.7	5781	818.5	1166.4	721.7	914.3
40857_f_at	66.9	58.1	181.7	29.1	148.8	46.6	57.2	30.3	66.1	116.2	77.3	204.6	39.6	38.7	43.6	36.9	9.4	28.6	99.7	100.6	661.5	49.9	85.4	463.8	118.2	145.3	236.3	71.6	91.9	121.3	102.7	431.2	174.9	652.1	110.9	67.6	109.2	49.3
